2019-04-21 13:43:00	NEW
2019-04-21 13:43:07	GO NORTH
2019-04-21 13:43:32	GO SOUTH
2019-04-21 13:43:36	GRAB POTION
2019-04-21 13:43:38	CHECK
2019-04-21 13:43:43	HELP
2019-04-21 13:43:53	GO NORTH
2019-04-21 13:43:57	GO WEST
2019-04-21 13:44:08	ATTACK
2019-04-21 13:44:12	HELP
2019-04-21 14:34:20	NEW
2019-04-21 14:34:22	GO NORTH
2019-04-21 16:02:51	NEW
2019-04-21 16:02:55	GRAB POTION
2019-04-21 16:02:59	CHECK
2019-04-21 16:03:03	USE POTION
2019-04-21 16:03:07	GO NORTH
2019-04-21 16:03:12	ATTACK
2019-04-21 16:03:16	USE POTION
2019-04-21 16:03:19	CHECK
2019-04-21 16:03:27	GO SOUTH
2019-04-21 16:03:30	GO NORTH
2019-04-21 16:05:50	NEW
2019-04-21 16:05:59	GRAB POTION
2019-04-21 16:06:01	GO NORTH
2019-04-21 16:06:03	GO SOUTH
2019-04-21 16:33:51	NEW
2019-04-21 16:33:56	GRAB POTION
2019-04-21 16:33:58	GO NORTH
2019-04-21 16:34:02	GRAB ARM
2019-04-21 16:34:07	CHECK
2019-04-21 16:34:09	USE ARM
2019-04-21 16:34:17	ATTACK
2019-04-21 16:34:21	HELP
2019-04-21 16:34:37	SAVE
2019-04-21 16:35:11	READ
2019-04-21 16:35:17	GO SOUTH
2019-04-21 16:35:20	CHECK
2019-04-21 16:35:31	USE ARM
2019-04-21 16:35:34	CHECK
2019-04-21 16:56:25	NEW
2019-04-21 16:59:18	NEW
2019-04-21 17:00:09	NEW
2019-04-21 17:00:12	USE POTION
2019-04-21 17:00:41	NEW
2019-04-21 17:01:21	NEW
2019-04-21 17:01:54	NEW
2019-04-21 17:01:56	GRAB ARM
2019-04-21 17:09:35	NEW
2019-04-21 17:09:37	GRAB POTION
2019-04-21 17:14:07	NEW
2019-04-21 17:14:11	GRAB POTION
2019-04-21 17:14:18	GO NORTH
2019-04-21 17:14:21	GRAB ARM
2019-04-21 17:14:34	CHECK
2019-04-21 17:15:03	NEW
2019-04-21 17:15:06	GRAB ARM
2019-04-21 17:15:08	GO NORTH
2019-04-21 17:15:11	GRAB POTION
2019-04-21 17:50:44	NEW
2019-04-21 17:50:49	GRAB POTION
2019-04-21 17:50:57	GO NORTH
2019-04-21 17:50:59	GRAB ARM
2019-04-21 17:51:02	USE ARM
2019-04-21 17:51:05	GO SOUTH
2019-04-21 17:51:07	GO NORTH
2019-04-21 17:51:08	CHECK
